Designator,Mid X,Mid Y,Rotation,Layer
C1,139.32,-82.0,180.0,top
C2,139.68,-86.0,0.0,top
C3,144.18,-100.0,0.0,top
C4,144.0,-86.0,0.0,top
D1,140.0,-101.0,180.0,top
J1,134.8,-92.75,90.0,top
J2,151.5,-92.75,270.0,top
R1,144.68,-102.0,0.0,top
R2,143.5,-82.5,0.0,top
U1,143.2,-92.83,270.0,top
