Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5",0201,3,C,
"C2, C4, C6",0402,3,C,
"Conn1, Conn2",PinHeader_1x09_P2.54mm_Vertical,2,Conn_01x09_Pin,
"J1, J2",0805,2,C,
R1,0805,1,10k,
U1,SSOP-24_3.9x8.7mm_P0.635mm,1,TB6612FNG_C_8_EL,
