Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10μF,
C2,0805,1,0.1μF,
"J1, J2",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06_Pin,
U1,SON50P300X200X80-13N,1,~,
