Designator,Mid X,Mid Y,Rotation,Layer
C1,161.3,-70.0,0.0,top
C2,161.25,-73.0,0.0,top
J1,166.0,-71.52,180.0,top
J2,156.5,-71.5,0.0,top
U1,161.25,-77.0,0.0,top
